step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
51,C38,0,E,28007,M38,28007,es_tech,105.58906365561177,0
157,C39,1,F,28007,M39,28007,es_leisure,229.71759107289202,0
56,C40,5,F,28007,M40,28007,es_otherservices,210.7079958843225,0
97,C41,3,U,28007,M41,28007,es_leisure,401.71092844325733,0
27,C42,6,U,28007,M42,28007,es_tech,277.6069009708668,0
120,C43,2,M,28007,M43,28007,es_health,446.49059413310493,0
117,C44,2,M,28007,M44,28007,es_transportation,413.7078491934367,0
2,C45,5,U,28007,M45,28007,es_home,284.235124457631,0
31,C46,1,E,28007,M46,28007,es_sportsandtoys,328.0412172971595,0
137,C47,5,M,28007,M47,28007,es_home,194.3466464525701,0
57,C48,4,F,28007,M48,28007,es_food,150.56719316026806,0
8,C49,1,M,28007,M49,28007,es_travel,441.03467115899315,0
136,C50,1,M,28007,M50,28007,es_food,478.50680356631005,0
64,C51,0,U,28007,M51,28007,es_travel,261.6904709578159,0
96,C52,4,M,28007,M52,28007,es_home,266.6565070459726,0
48,C53,5,U,28007,M53,28007,es_health,360.6835107705997,0
54,C54,4,U,28007,M54,28007,es_tech,136.63260169847985,0
161,C55,5,E,28007,M55,28007,es_fashion,319.5610240116437,0
107,C56,3,M,28007,M56,28007,es_food,483.4519405603596,0
111,C57,3,E,28007,M57,28007,es_contents,58.59828223038832,0
99,C58,2,F,28007,M58,28007,es_hotelservices,168.8487498655531,0
61,C59,0,M,28007,M59,28007,es_tech,204.16220172707932,0
103,C60,1,U,28007,M60,28007,es_health,353.836574061377,0
89,C61,3,F,28007,M61,28007,es_leisure,489.12148998121984,0
58,C62,1,F,28007,M62,28007,es_hotelservices,240.28637860327402,0
91,C63,3,U,28007,M63,28007,es_otherservices,345.23841175833815,0
151,C64,1,M,28007,M64,28007,es_health,13.033855306249787,0
98,C65,0,E,28007,M65,28007,es_barsandrestaurants,58.10033412632626,0
167,C66,3,F,28007,M66,28007,es_tech,412.9728887764622,0
2,C67,4,M,28007,M67,28007,es_tech,281.46829156601086,0
67,C68,2,M,28007,M68,28007,es_hyper,171.9798859660262,0
112,C69,2,M,28007,M69,28007,es_hyper,50.315950903434995,0
14,C70,3,M,28007,M70,28007,es_travel,352.9474043557372,0
11,C71,0,U,28007,M71,28007,es_health,466.28080822257857,0
72,C72,1,E,28007,M72,28007,es_food,493.9355188002864,0
71,C73,6,M,28007,M73,28007,es_home,221.62535098358987,0
82,C74,6,E,28007,M74,28007,es_tech,341.0133947945039,0
125,C75,0,M,28007,M75,28007,es_barsandrestaurants,427.6388805146633,0
41,C76,3,E,28007,M76,28007,es_wellnessandbeauty,178.46615510110664,0
90,C77,6,U,28007,M77,28007,es_tech,336.1849496773006,0
2,C78,6,E,28007,M78,28007,es_hotelservices,94.3036332025215,0
125,C79,3,M,28007,M79,28007,es_wellnessandbeauty,10.379022803981396,0
134,C80,1,F,28007,M80,28007,es_sportsandtoys,236.09814689879366,0
48,C81,4,U,28007,M81,28007,es_travel,84.05646933673061,0
139,C82,1,F,28007,M82,28007,es_barsandrestaurants,100.15682880869703,0
6,C83,3,U,28007,M83,28007,es_wellnessandbeauty,424.2993568819147,1
119,C84,2,E,28007,M84,28007,es_otherservices,411.9604823389575,0
161,C85,1,M,28007,M85,28007,es_travel,377.02296354539084,0
67,C86,1,E,28007,M86,28007,es_food,309.32697172322565,0
39,C87,6,E,28007,M87,28007,es_contents,363.1375433907336,0
12,C88,4,E,28007,M88,28007,es_tech,342.6540705067735,0
98,C89,4,M,28007,M89,28007,es_travel,249.7227353580277,0
174,C90,6,E,28007,M90,28007,es_hyper,147.72158640164855,0
16,C91,6,U,28007,M91,28007,es_home,387.6182419202342,1
177,C92,4,E,28007,M92,28007,es_contents,200.84882895639322,0
97,C93,6,F,28007,M93,28007,es_leisure,461.2651773056744,0
3,C94,3,F,28007,M94,28007,es_sportsandtoys,372.3264352349893,0
125,C95,6,M,28007,M95,28007,es_hotelservices,477.24261928987653,0
114,C96,1,U,28007,M96,28007,es_travel,175.8933762204094,0
55,C97,0,E,28007,M97,28007,es_otherservices,445.4439424206419,0
109,C98,2,F,28007,M98,28007,es_travel,456.33231604829444,0
48,C99,1,U,28007,M99,28007,es_fashion,367.6065234931667,0
3,C100,2,U,28007,M100,28007,es_hyper,247.24780974191006,0
179,C101,2,F,28007,M101,28007,es_health,362.11552230914435,1
6,C102,0,E,28007,M102,28007,es_tech,110.60141337198253,0
65,C103,6,U,28007,M103,28007,es_health,422.1256560873595,0
122,C104,4,F,28007,M104,28007,es_health,359.88075024640557,0
2,C105,4,E,28007,M105,28007,es_fashion,233.49531680934456,0
146,C106,1,F,28007,M106,28007,es_travel,208.38883481068328,0
177,C107,5,U,28007,M107,28007,es_transportation,180.6946213476257,0
75,C108,2,U,28007,M108,28007,es_leisure,355.891190415491,0
65,C109,4,M,28007,M109,28007,es_leisure,114.59336737231041,0
128,C110,4,M,28007,M110,28007,es_home,43.903118391508734,0
68,C111,1,U,28007,M111,28007,es_food,199.80228175255394,0
101,C112,1,E,28007,M112,28007,es_hyper,251.50902452156555,0
126,C113,1,E,28007,M113,28007,es_tech,195.04991521912402,0
60,C114,2,F,28007,M114,28007,es_health,126.60454731102023,0
63,C115,5,F,28007,M115,28007,es_sportsandtoys,461.39663369099287,0
54,C116,6,F,28007,M116,28007,es_tech,398.22983830003585,0
17,C117,6,M,28007,M117,28007,es_leisure,34.57233558444789,0
33,C118,4,U,28007,M118,28007,es_leisure,274.79014088769696,0
138,C119,6,M,28007,M119,28007,es_sportsandtoys,494.76367082415106,0
131,C120,1,E,28007,M120,28007,es_tech,497.8689415648076,0
24,C121,5,U,28007,M121,28007,es_sportsandtoys,305.35319489068763,0
34,C122,0,E,28007,M122,28007,es_barsandrestaurants,461.66866742283526,0
157,C123,1,U,28007,M123,28007,es_sportsandtoys,84.67980622317816,0
19,C124,2,E,28007,M124,28007,es_home,394.4372955136155,0
111,C125,0,F,28007,M125,28007,es_hyper,23.88670344619237,0
134,C126,4,U,28007,M126,28007,es_hotelservices,494.5676480660793,0
142,C127,6,U,28007,M127,28007,es_leisure,445.5828277644824,0
167,C128,0,M,28007,M128,28007,es_barsandrestaurants,179.04053484598265,0
144,C129,6,E,28007,M129,28007,es_hyper,44.687797215787974,0
81,C130,3,E,28007,M130,28007,es_hotelservices,190.05159190395077,0
79,C131,5,E,28007,M131,28007,es_food,189.873837861666,0
107,C132,2,M,28007,M132,28007,es_sportsandtoys,194.34693831079625,0
173,C133,3,F,28007,M133,28007,es_hotelservices,278.12298858917893,0
87,C134,2,M,28007,M134,28007,es_transportation,469.46705981530835,0
83,C135,5,M,28007,M135,28007,es_barsandrestaurants,127.31590447272644,0
106,C136,3,F,28007,M136,28007,es_transportation,235.2311134632511,0
77,C137,4,U,28007,M137,28007,es_transportation,196.43418882550185,0
51,C138,2,E,28007,M138,28007,es_barsandrestaurants,93.10502049407205,0
2,C139,1,E,28007,M139,28007,es_leisure,143.9411488851895,0
116,C140,5,U,28007,M140,28007,es_travel,374.3786275901533,0
110,C141,2,U,28007,M141,28007,es_home,117.09821150309574,0
108,C142,2,E,28007,M142,28007,es_wellnessandbeauty,379.24192858488044,0
128,C143,1,U,28007,M143,28007,es_wellnessandbeauty,342.8411651074412,0
4,C144,4,M,28007,M144,28007,es_home,384.6383684966591,0
150,C145,5,M,28007,M145,28007,es_transportation,192.56754583701297,0
24,C146,3,F,28007,M146,28007,es_sportsandtoys,45.29424629922158,0
82,C147,5,E,28007,M147,28007,es_contents,410.708552606895,0
69,C148,0,F,28007,M148,28007,es_barsandrestaurants,253.29789677477893,0
25,C149,5,M,28007,M149,28007,es_sportsandtoys,422.36599490756805,0
5,C150,0,F,28007,M150,28007,es_hyper,184.02872339199132,0
143,C151,5,U,28007,M151,28007,es_home,78.39721235961156,0
169,C152,6,U,28007,M152,28007,es_health,153.29916319739013,0
179,C153,2,U,28007,M153,28007,es_sportsandtoys,279.15106047549534,0
37,C154,4,U,28007,M154,28007,es_food,348.79219723857005,0
138,C155,0,U,28007,M155,28007,es_leisure,265.5121361681052,0
125,C156,0,E,28007,M156,28007,es_home,183.11908863236582,0
121,C157,4,E,28007,M157,28007,es_fashion,250.91759005319525,0
140,C158,4,F,28007,M158,28007,es_wellnessandbeauty,260.22801396869306,0
106,C159,6,M,28007,M159,28007,es_barsandrestaurants,30.187996483454327,0
72,C160,4,E,28007,M160,28007,es_home,439.09652965638304,0
41,C161,2,E,28007,M161,28007,es_sportsandtoys,468.69633981085815,0
7,C162,1,U,28007,M162,28007,es_otherservices,272.6363227067054,0
114,C163,2,U,28007,M163,28007,es_food,383.6484405388018,0
162,C164,5,U,28007,M164,28007,es_wellnessandbeauty,315.2930678419036,0
151,C165,3,F,28007,M165,28007,es_health,276.1091347502537,0
63,C166,6,F,28007,M166,28007,es_hyper,19.167303455051798,0
54,C167,2,F,28007,M167,28007,es_otherservices,103.06475543789489,0
31,C168,5,U,28007,M168,28007,es_transportation,204.8270152119762,0
30,C169,3,E,28007,M169,28007,es_travel,160.98069033006612,0
121,C170,6,M,28007,M170,28007,es_contents,254.1594817755402,0
158,C171,6,M,28007,M171,28007,es_sportsandtoys,321.99678476529516,0
147,C172,5,F,28007,M172,28007,es_home,450.49240312489707,0
27,C173,3,E,28007,M173,28007,es_health,414.97602662510826,0
5,C174,1,M,28007,M174,28007,es_fashion,265.5791044533829,0
136,C175,5,F,28007,M175,28007,es_contents,153.5572003889237,0
3,C176,4,U,28007,M176,28007,es_barsandrestaurants,486.4321265037327,0
43,C177,2,M,28007,M177,28007,es_tech,345.88432951761456,0
128,C178,5,M,28007,M178,28007,es_fashion,125.62612571502247,0
125,C179,3,F,28007,M179,28007,es_wellnessandbeauty,40.7835081852862,0
128,C180,6,F,28007,M180,28007,es_hotelservices,289.3500109178979,0
90,C181,5,F,28007,M181,28007,es_leisure,364.26212598814135,0
160,C182,0,F,28007,M182,28007,es_fashion,345.02324161028923,0
79,C183,4,U,28007,M183,28007,es_travel,347.3858998170337,0
71,C184,1,U,28007,M184,28007,es_sportsandtoys,170.93383748374086,0
53,C185,3,U,28007,M185,28007,es_otherservices,458.17902424059713,0
53,C186,2,E,28007,M186,28007,es_health,461.9902674172477,0
108,C187,6,F,28007,M187,28007,es_tech,322.9146834257835,0
171,C188,4,M,28007,M188,28007,es_barsandrestaurants,107.8380154388634,0
105,C189,5,E,28007,M189,28007,es_contents,212.59446464793396,0
26,C190,0,E,28007,M190,28007,es_travel,434.7766809472431,0
160,C191,1,M,28007,M191,28007,es_transportation,415.2001503229921,0
118,C192,6,U,28007,M192,28007,es_hyper,395.33167772106896,0
63,C193,2,E,28007,M193,28007,es_transportation,357.1795001483507,0
44,C194,5,E,28007,M194,28007,es_hyper,399.7459711059606,0
144,C195,1,F,28007,M195,28007,es_food,290.6092869714127,0
106,C196,3,F,28007,M196,28007,es_contents,62.237744235018376,0
124,C197,2,M,28007,M197,28007,es_sportsandtoys,188.43425991415086,0
169,C198,5,U,28007,M198,28007,es_contents,266.0570639408441,0
149,C199,5,M,28007,M199,28007,es_transportation,64.65439082874475,0
168,C200,0,F,28007,M200,28007,es_sportsandtoys,36.33396004349482,0
38,C201,2,M,28007,M201,28007,es_hotelservices,51.60672129482763,0
92,C202,0,M,28007,M202,28007,es_contents,94.31805213682937,0
17,C203,1,E,28007,M203,28007,es_food,230.19902768784033,0
88,C204,0,E,28007,M204,28007,es_leisure,332.28059460042806,0
159,C205,5,F,28007,M205,28007,es_otherservices,123.81229576821995,0
23,C206,5,M,28007,M206,28007,es_tech,346.619738927438,0
54,C207,3,U,28007,M207,28007,es_home,393.12251752330536,0
40,C208,2,F,28007,M208,28007,es_hotelservices,118.13735745263759,0
95,C209,2,F,28007,M209,28007,es_otherservices,378.24429752001413,0
153,C210,2,F,28007,M210,28007,es_wellnessandbeauty,29.308761731817068,0
143,C211,4,F,28007,M211,28007,es_contents,491.17879608009724,0
85,C212,1,E,28007,M212,28007,es_sportsandtoys,30.872127036207118,0
105,C213,3,M,28007,M213,28007,es_home,367.72079986080524,0
61,C214,4,M,28007,M214,28007,es_hyper,384.3889830878222,0
3,C215,2,M,28007,M215,28007,es_contents,39.831486562541315,0
74,C216,1,F,28007,M216,28007,es_food,76.74161723446244,0
21,C217,5,E,28007,M217,28007,es_barsandrestaurants,184.10798691678215,0
146,C218,4,M,28007,M218,28007,es_travel,249.47911501634758,0
103,C219,4,M,28007,M219,28007,es_transportation,4.643737752550059,0
156,C220,0,U,28007,M220,28007,es_hyper,94.9782506132803,0
115,C221,4,U,28007,M221,28007,es_hotelservices,340.5177494169595,1
134,C222,5,M,28007,M222,28007,es_tech,63.59254610644999,0
150,C223,4,M,28007,M223,28007,es_otherservices,240.35907564625276,0
122,C224,5,F,28007,M224,28007,es_transportation,476.240435255011,0
99,C225,5,U,28007,M225,28007,es_transportation,487.43653001243814,0
43,C226,3,F,28007,M226,28007,es_hotelservices,152.90860075030278,0
172,C227,2,M,28007,M227,28007,es_leisure,60.1939474904778,0
107,C228,3,U,28007,M228,28007,es_health,480.0371888640729,0
117,C229,4,F,28007,M229,28007,es_home,314.6961742049567,0
132,C230,3,F,28007,M230,28007,es_sportsandtoys,209.48337567694426,0
135,C231,0,E,28007,M231,28007,es_tech,247.9231613358797,0
3,C232,4,M,28007,M232,28007,es_hotelservices,351.0709886704713,0
118,C233,0,M,28007,M233,28007,es_sportsandtoys,166.77164190863,0
89,C234,3,E,28007,M234,28007,es_wellnessandbeauty,427.3906243372676,0
23,C235,1,U,28007,M235,28007,es_otherservices,309.48521567167217,0
5,C236,5,U,28007,M236,28007,es_sportsandtoys,462.5819958434776,0
23,C237,2,F,28007,M237,28007,es_transportation,86.92159585717579,0
88,C238,2,F,28007,M238,28007,es_hyper,205.2879090024433,0
18,C239,3,M,28007,M239,28007,es_leisure,298.04297296062805,0
106,C240,3,M,28007,M240,28007,es_travel,9.566168265218721,0
64,C241,4,U,28007,M241,28007,es_health,11.172014153102982,0
27,C242,2,M,28007,M242,28007,es_hotelservices,336.11357490555423,0
113,C243,0,F,28007,M243,28007,es_barsandrestaurants,341.0644094326701,0
55,C244,0,E,28007,M244,28007,es_hyper,405.57518189482727,0
146,C245,2,E,28007,M245,28007,es_leisure,137.15407341284507,0
87,C246,6,U,28007,M246,28007,es_tech,310.1644643223967,0
133,C247,2,E,28007,M247,28007,es_hotelservices,298.52783205888323,0
130,C248,4,M,28007,M248,28007,es_home,465.9924069732474,0
43,C249,6,U,28007,M249,28007,es_home,421.60157130969145,0
19,C250,1,E,28007,M250,28007,es_fashion,283.5925088365146,0
11,C251,0,E,28007,M251,28007,es_leisure,199.02528106675334,0
157,C252,3,M,28007,M252,28007,es_travel,134.13090002859374,0
123,C253,6,E,28007,M253,28007,es_contents,5.529570739723988,0
25,C254,6,E,28007,M254,28007,es_hyper,411.82248181907363,0
143,C255,2,U,28007,M255,28007,es_hyper,480.7305738579078,0
83,C256,2,E,28007,M256,28007,es_fashion,306.16758679056693,0
50,C257,4,E,28007,M257,28007,es_hyper,43.87040978365564,0
107,C258,1,E,28007,M258,28007,es_contents,197.03724146415308,0
75,C259,4,F,28007,M259,28007,es_hotelservices,362.03336639790814,0
54,C260,6,M,28007,M260,28007,es_food,400.5975958256869,0
155,C261,4,E,28007,M261,28007,es_hyper,310.4961630799407,0
61,C262,5,M,28007,M262,28007,es_sportsandtoys,316.9540943005095,0
12,C263,1,E,28007,M263,28007,es_travel,305.5770054733695,0
6,C264,3,M,28007,M264,28007,es_contents,212.52466829348364,0
119,C265,5,E,28007,M265,28007,es_food,430.7144000425522,0
172,C266,3,F,28007,M266,28007,es_otherservices,152.91874248324928,0
147,C267,3,M,28007,M267,28007,es_travel,186.76612467975724,0
61,C268,2,U,28007,M268,28007,es_wellnessandbeauty,457.734543298844,0
22,C269,6,E,28007,M269,28007,es_home,469.62685764623893,0
170,C270,0,E,28007,M270,28007,es_contents,81.33225267555166,0
119,C271,0,F,28007,M271,28007,es_sportsandtoys,210.64273659686145,0
57,C272,3,U,28007,M272,28007,es_otherservices,311.9689476842021,0
115,C273,4,M,28007,M273,28007,es_sportsandtoys,469.11357430591136,0
80,C274,1,U,28007,M274,28007,es_contents,231.6348721400955,0
90,C275,3,M,28007,M275,28007,es_travel,223.91022818754175,0
147,C276,3,F,28007,M276,28007,es_fashion,135.5563911294596,0
48,C277,2,E,28007,M277,28007,es_tech,217.0764754838574,0
104,C278,1,U,28007,M278,28007,es_food,281.4225913308313,0
159,C279,0,F,28007,M279,28007,es_health,165.73037664743163,0
128,C280,0,E,28007,M280,28007,es_otherservices,193.24934018220935,0
6,C281,4,E,28007,M281,28007,es_sportsandtoys,112.00232129210808,0
139,C282,2,M,28007,M282,28007,es_food,276.03276763115105,0
106,C283,1,M,28007,M283,28007,es_health,359.3762318309268,0
150,C284,4,E,28007,M284,28007,es_home,276.9640018116117,0
24,C285,5,F,28007,M285,28007,es_wellnessandbeauty,189.2258197667519,0
134,C286,0,U,28007,M286,28007,es_otherservices,241.64870664584498,0
47,C287,5,F,28007,M287,28007,es_tech,413.77818069969237,0
59,C288,6,M,28007,M288,28007,es_leisure,215.0095875114577,0
165,C289,6,U,28007,M289,28007,es_travel,366.2200513666372,0
136,C290,2,M,28007,M290,28007,es_home,46.6028978133326,0
174,C291,1,F,28007,M291,28007,es_food,414.65720372944907,0
90,C292,5,E,28007,M292,28007,es_barsandrestaurants,289.67844759685505,0
10,C293,1,E,28007,M293,28007,es_leisure,450.3091995689677,0
43,C294,3,U,28007,M294,28007,es_health,388.8388396203235,0
46,C295,6,E,28007,M295,28007,es_sportsandtoys,436.3289251435027,0
98,C296,1,M,28007,M296,28007,es_hotelservices,124.16914649471583,0
25,C297,3,F,28007,M297,28007,es_wellnessandbeauty,217.78958695367584,0
39,C298,6,U,28007,M298,28007,es_leisure,169.9838788693377,0
77,C299,3,M,28007,M299,28007,es_leisure,163.97620293546,0
108,C300,4,F,28007,M300,28007,es_hotelservices,174.0009281862619,0
72,C301,4,F,28007,M301,28007,es_leisure,480.9530310200948,0
161,C302,0,E,28007,M302,28007,es_travel,125.9339882696655,0
36,C303,0,F,28007,M303,28007,es_sportsandtoys,487.3290624684415,0
107,C304,2,M,28007,M304,28007,es_barsandrestaurants,443.4462301083872,0
151,C305,5,E,28007,M305,28007,es_fashion,396.5532275712272,0
109,C306,6,E,28007,M306,28007,es_hotelservices,496.33399889752434,0
31,C307,0,E,28007,M307,28007,es_food,114.46940213172141,0
178,C308,0,U,28007,M308,28007,es_fashion,455.9334148409403,0
85,C309,6,F,28007,M309,28007,es_food,363.9428270092393,0
84,C310,3,U,28007,M310,28007,es_travel,103.16430721686842,0
2,C311,6,U,28007,M311,28007,es_barsandrestaurants,80.3393519262231,0
153,C312,0,F,28007,M312,28007,es_tech,91.31375831156413,0
63,C313,0,M,28007,M313,28007,es_sportsandtoys,96.06008280568219,0
54,C314,6,F,28007,M314,28007,es_transportation,137.57554891806157,0
13,C315,4,M,28007,M315,28007,es_fashion,491.22803591919734,0
68,C316,1,F,28007,M316,28007,es_fashion,205.73781896731114,0
93,C317,6,U,28007,M317,28007,es_wellnessandbeauty,439.1681020349478,0
135,C318,2,U,28007,M318,28007,es_wellnessandbeauty,324.589774691102,0
142,C319,3,E,28007,M319,28007,es_travel,156.4470283716311,0
50,C320,1,U,28007,M320,28007,es_transportation,29.46063364808382,0
116,C321,4,M,28007,M321,28007,es_transportation,271.39018584814966,0
135,C322,3,M,28007,M322,28007,es_hotelservices,92.97351424837674,0
40,C323,3,U,28007,M323,28007,es_travel,397.91179290884946,0
16,C324,4,U,28007,M324,28007,es_fashion,157.67099296735276,0
148,C325,5,U,28007,M325,28007,es_barsandrestaurants,82.36445934861514,0
122,C326,4,U,28007,M326,28007,es_wellnessandbeauty,102.68630533907746,0
145,C327,6,F,28007,M327,28007,es_contents,316.5479716250264,0
165,C328,4,E,28007,M328,28007,es_sportsandtoys,348.3779762775345,0
69,C329,2,U,28007,M329,28007,es_hotelservices,161.42189122153812,0
3,C330,0,F,28007,M330,28007,es_otherservices,135.56036689368827,0
9,C331,2,M,28007,M331,28007,es_contents,194.93059661571726,0
149,C332,2,F,28007,M332,28007,es_travel,411.8811669258781,0
46,C333,2,E,28007,M333,28007,es_hotelservices,266.8462559657817,0
99,C334,0,U,28007,M334,28007,es_hyper,248.33676987600768,0
76,C335,2,U,28007,M335,28007,es_travel,144.45045035058524,0
53,C336,4,M,28007,M336,28007,es_sportsandtoys,289.94772857446037,0
1,C337,3,M,28007,M337,28007,es_barsandrestaurants,272.63996842905715,0
94,C338,4,F,28007,M338,28007,es_transportation,315.82028636747293,0
8,C339,0,M,28007,M339,28007,es_hyper,154.57722633286224,0
67,C340,5,U,28007,M340,28007,es_hyper,293.2823221199946,0
141,C341,5,F,28007,M341,28007,es_food,416.377942293177,0
61,C342,5,E,28007,M342,28007,es_travel,295.11388027493047,0
70,C343,5,F,28007,M343,28007,es_otherservices,421.35840265400765,0
131,C344,3,U,28007,M344,28007,es_barsandrestaurants,430.89224253958713,0
36,C345,5,E,28007,M345,28007,es_barsandrestaurants,74.9674602298564,0
140,C346,4,E,28007,M346,28007,es_health,421.44714484182845,0
44,C347,4,E,28007,M347,28007,es_barsandrestaurants,403.74290842142597,0
101,C348,4,M,28007,M348,28007,es_home,139.23604494381698,0
139,C349,2,F,28007,M349,28007,es_hotelservices,156.0701511643559,0
45,C350,4,M,28007,M350,28007,es_tech,430.0091195529605,0
127,C351,1,F,28007,M351,28007,es_fashion,285.6884447382898,1
84,C352,3,U,28007,M352,28007,es_hyper,320.2887647911473,0
50,C353,1,E,28007,M353,28007,es_travel,27.4125751486628,0
17,C354,2,M,28007,M354,28007,es_home,7.237107371274032,0
144,C355,5,E,28007,M355,28007,es_tech,194.795433475773,0
10,C356,6,U,28007,M356,28007,es_home,26.64207594805912,0
80,C357,6,F,28007,M357,28007,es_fashion,133.07525938326276,0
40,C358,5,M,28007,M358,28007,es_travel,79.27628850029966,0
66,C359,0,F,28007,M359,28007,es_contents,387.3159663916694,0
113,C360,2,E,28007,M360,28007,es_food,11.155804948116742,0
101,C361,3,F,28007,M361,28007,es_hyper,83.5376159451674,0
35,C362,5,E,28007,M362,28007,es_fashion,87.07676116621272,0
21,C363,0,U,28007,M363,28007,es_barsandrestaurants,81.48562947929328,0
108,C364,6,U,28007,M364,28007,es_hyper,446.6459406255851,0
99,C365,3,U,28007,M365,28007,es_health,121.30502511232399,0
81,C366,6,E,28007,M366,28007,es_leisure,201.95882553365414,0
119,C367,5,M,28007,M367,28007,es_leisure,6.352143484048556,0
2,C368,3,M,28007,M368,28007,es_wellnessandbeauty,287.9254726169845,0
21,C369,3,U,28007,M369,28007,es_health,327.1976123796575,0
127,C370,0,F,28007,M370,28007,es_food,442.66554089632007,0
25,C371,6,F,28007,M371,28007,es_travel,391.0880360985987,0
14,C372,4,E,28007,M372,28007,es_otherservices,384.37436061411,0
79,C373,4,M,28007,M373,28007,es_health,462.6055522776784,0
26,C374,2,F,28007,M374,28007,es_leisure,151.63605295668893,0
34,C375,6,F,28007,M375,28007,es_hyper,445.5342868183713,0
106,C376,3,M,28007,M376,28007,es_food,78.7210824142801,0
33,C377,5,U,28007,M377,28007,es_hotelservices,103.8657523483053,0
143,C378,4,M,28007,M378,28007,es_transportation,117.01075752534163,0
61,C379,2,U,28007,M379,28007,es_contents,368.82043630225206,0
8,C380,2,M,28007,M380,28007,es_hotelservices,62.27189232788077,0
105,C381,6,F,28007,M381,28007,es_health,454.50186112219626,0
72,C382,4,F,28007,M382,28007,es_hyper,354.6364508328022,0
163,C383,3,E,28007,M383,28007,es_health,458.4954657239093,0
26,C384,3,M,28007,M384,28007,es_leisure,207.7774999773941,0
26,C385,2,M,28007,M385,28007,es_contents,340.23766322032435,0
79,C386,0,M,28007,M386,28007,es_hyper,47.60118952700321,0
6,C387,6,E,28007,M387,28007,es_food,360.1588689804648,0
43,C388,6,F,28007,M388,28007,es_hyper,214.99959208283047,0
149,C389,1,M,28007,M389,28007,es_tech,457.46120841073036,0
136,C390,6,F,28007,M390,28007,es_barsandrestaurants,286.3275718344711,0
110,C391,0,E,28007,M391,28007,es_fashion,27.31890774957879,0
171,C392,0,E,28007,M392,28007,es_hotelservices,431.8033564702821,0
171,C393,5,F,28007,M393,28007,es_hotelservices,127.22978437362697,0
150,C394,4,U,28007,M394,28007,es_wellnessandbeauty,103.13642201958679,0
49,C395,1,U,28007,M395,28007,es_hyper,266.0865335489404,1
70,C396,0,E,28007,M396,28007,es_transportation,452.84918036195404,0
90,C397,4,F,28007,M397,28007,es_hyper,130.89345288929556,0
115,C398,3,F,28007,M398,28007,es_otherservices,158.81848204712313,0
15,C399,3,U,28007,M399,28007,es_hyper,172.69867949704866,0
14,C400,4,U,28007,M400,28007,es_wellnessandbeauty,458.6413795010527,0
104,C401,5,U,28007,M401,28007,es_travel,320.572615104321,0
23,C402,3,U,28007,M402,28007,es_tech,360.3581252876364,0
